Music_ID,Music_Q,Music_A
1,Who is known as the "King of Pop"?,Michael Jackson
2,Which British band released the album "Abbey Road"?,The Beatles
3,What is the real name of the artist "Eminem"?,Marshall Mathers
4,Which classical composer became deaf but continued composing?,Beethoven
5,What is the highest male singing voice?,Tenor
6,Which singer performed "Rolling in the Deep"?,Adele
7,What instrument does Yo-Yo Ma play?,Cello
8,Who was the lead singer of Queen?,Freddie Mercury
9,What is the best-selling album of all time?,Thriller
10,Which genre of music originated in Jamaica?,Reggae
11,How many keys are there in music?,12
